"タイムスタンプ","あなたのCrowdWorks表示名（下記URLの右側に表示されているCrowdworks上のユーザー名）を記載して下さい。","性別","年齢 （例、25）","あなたの出身地を入力してください（例、大阪府）","今の時刻を入力してください","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、話している人の性格はどう感じましたか","このビデオにおいて、話している人のテンションはどう感じましたか","このビデオにおいて、話している人の性格はどう感じましたか","このビデオにおいて、話している人のテンションはどう感じましたか","このビデオにおいて、話している人の性格はどう感じましたか","このビデオにおいて、話している人のテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","活発だと思う","温和だと思う","鈍感だと思う","感情的だと思う","知性的だと思う","同調的だと思う","積極的だと思う","無神経だと思う","分析的だと思う","自責しがちだと思う","協力的だと思う","独創的だと思う","話好きだと思う","心配性だと思う","無責任だと思う","陽気だと思う","考察するのが好きだと思う","いい加減だと思う","穏やかだと思う","混乱しやすいと思う","本実験全体を通して、アバターとロボットの振る舞いの不自然さなど、お気づきの点や感想などを自由にお書きください。"
"2022/02/21 11:17:10 午前 GMT+9","natsu_na","女","42","宮城県","10:52","2","1","3","2","4","3","2","2","5","4","6","5","4","3","3","4","6","5","4","3","3","4","2","1","6","5","3","2","4","4","4","3","4","4","6","5","2","3","2","3","2","2","4","5","4","6","7","6","7","6","6","5","6","5","6","5","5","5","4","5","4","3","2","4","3","2","7","5","4","5","4","3","2","1","2","6","5","5","7","6","6","6","5","5","7","6","6","7","6","7","6","6","7","7","6","6","6","5","4","6","5","6","4","3","3","5","4","4","6","6","5","7","6","6","5","4","5","6","5","4","5","4","3","6","6","5","2","6","3","5","4","3","2","5","4","6","6","5","4","7","1","3","6","4","4","5","アバターよりロボットの方が口元が動いているから自然に感じる"
"2022/02/21 2:43:01 午後 GMT+9","kuruupu","男","50","愛知県","14:25","2","2","3","2","3","3","4","4","5","4","4","4","5","5","5","5","5","5","6","5","6","5","5","5","6","5","2","2","5","4","3","3","3","2","4","3","1","2","2","1","2","2","2","2","2","3","2","2","3","2","2","4","3","3","4","3","3","3","2","2","5","4","4","5","4","4","6","5","5","6","5","5","4","3","3","6","4","4","6","4","4","1","2","2","2","2","2","3","2","2","4","3","3","4","3","3","4","4","4","5","5","5","5","4","4","5","5","5","5","5","5","6","5","5","4","4","4","5","5","5","6","5","5","6","5","5","3","4","3","3","3","3","3","5","5","4","4","5","5","6","6","3","5","5","4","5","どちらも機械的な動きに見えた"
"2022/02/21 2:43:33 午後 GMT+9","wakaba1998325","男","23","大分県","14:25","2","2","5","5","5","5","6","5","6","5","6","6","6","5","6","5","5","3","5","3","5","3","4","2","5","5","2","2","5","2","5","2","5","2","6","3","3","2","2","5","3","3","5","2","2","5","2","4","6","2","4","6","6","3","7","6","3","6","3","3","6","3","3","7","6","3","7","6","3","1","3","3","6","3","3","7","3","3","6","3","3","5","3","3","6","5","3","5","3","3","5","3","3","6","3","3","7","3","3","6","3","3","6","3","3","6","3","3","7","3","3","6","3","3","6","3","3","6","3","3","6","3","3","6","3","3","6","6","5","5","6","7","3","4","5","5","3","3","6","6","4","5","3","5","6","4","音声が基本的に消極的なイメージに感じた。"
"2022/02/21 2:43:57 午後 GMT+9","ikedey","男","45","山形県","14:25","2","1","1","1","2","2","2","1","4","3","4","4","5","4","5","4","5","4","6","4","4","5","6","4","6","5","1","1","4","4","3","4","4","5","4","4","2","2","2","2","2","1","2","2","1","5","4","4","4","5","4","4","4","5","6","5","4","3","4","4","3","3","4","5","4","4","6","6","4","5","6","5","2","1","2","4","3","3","2","4","3","1","3","3","2","4","4","2","4","4","3","4","5","3","4","5","3","5","5","3","5","5","2","3","4","2","2","3","3","4","4","3","5","5","3","2","4","3","4","5","3","4","4","3","4","5","6","6","4","3","5","2","5","2","5","1","3","3","2","2","4","4","5","5","6","2","特になし"
"2022/02/21 2:46:18 午後 GMT+9","conicomi","男","48","鹿児島県","14:25","2","2","4","3","5","4","4","3","6","6","5","6","7","6","5","5","6","5","5","4","6","6","4","5","5","6","1","1","4","3","3","4","4","3","5","6","2","2","2","2","2","3","4","3","4","6","6","6","7","7","7","4","3","4","6","5","5","3","3","4","5","4","5","2","2","2","6","7","7","6","7","7","4","3","3","7","6","7","5","6","6","6","7","7","6","6","5","5","5","5","5","6","5","4","5","4","3","4","3","4","5","5","5","4","4","4","5","5","2","3","2","6","5","6","2","3","2","4","4","5","4","5","4","6","7","7","2","3","6","5","3","5","2","6","4","5","4","2","2","6","6","3","5","6","3","6","ロボットが自然な反応で動いている時があって驚いた"
"2022/02/21 2:47:44 午後 GMT+9","rar","女","38","福岡県","14:26","1","1","3","2","2","1","3","4","4","5","5","4","5","5","4","5","5","6","5","3","5","6","3","4","5","5","1","1","2","3","2","3","4","4","3","5","1","5","1","2","3","2","3","4","2","5","5","5","6","6","4","5","4","5","4","3","3","2","3","2","5","5","3","4","4","2","5","5","4","6","5","5","5","3","4","7","4","6","5","5","4","2","4","2","4","5","5","6","5","4","5","6","4","4","6","4","5","5","4","5","6","4","3","4","3","4","5","5","6","5","5","6","6","7","2","5","5","5","6","6","4","6","5","5","7","6","6","4","2","4","2","5","5","2","1","1","5","2","6","2","1","5","2","1","5","1","アバターは人間ぽくないからか全体的に動きが鈍く見えたけど、人形ロボットの方だと、なぜか分からないけど動きがリアルに見えました。"
"2022/02/21 2:48:01 午後 GMT+9","マッキー44","男","49","徳島県","14:25","2","2","3","3","3","3","2","2","4","4","4","4","5","4","4","3","4","4","5","3","4","3","3","3","4","4","2","1","4","3","4","3","4","3","4","4","2","2","2","2","2","2","3","2","2","3","3","3","6","5","4","4","3","2","6","5","4","4","3","3","4","3","3","5","4","3","7","4","4","6","4","4","3","4","3","6","5","5","6","4","4","4","4","4","5","5","4","5","5","4","6","5","5","7","6","5","5","4","4","6","5","5","5","4","4","5","4","4","6","5","5","6","5","5","6","5","4","7","6","5","6","4","4","6","4","4","2","5","2","5","6","4","3","4","4","2","4","2","4","4","3","3","4","3","4","4","アバターの顔が違うだけでずいぶん印象が変わるのですね。"
"2022/02/21 2:49:29 午後 GMT+9","aruru002","男","31","兵庫県","14:25","3","2","2","2","4","3","5","3","5","4","5","5","6","5","5","5","5","4","5","4","3","3","4","3","6","5","2","1","3","4","3","4","3","3","3","4","1","2","1","2","3","2","3","3","3","5","5","5","5","4","4","4","3","3","5","5","5","5","4","4","4","4","3","5","5","5","4","3","3","4","5","4","3","3","3","5","4","5","6","5","5","2","3","3","3","4","4","4","4","4","4","5","5","5","4","4","4","4","4","4","3","3","3","3","2","4","3","4","5","3","4","6","5","5","3","4","4","5","5","4","3","4","4","5","4","4","2","5","5","4","4","3","4","3","4","5","4","3","4","3","3","4","5","4","5","5","特にありませんでした。"
"2022/02/21 2:50:20 午後 GMT+9","kokohito","女","35","山形県","14:26","2","1","4","3","5","4","5","5","7","6","5","4","7","7","5","5","6","7","5","4","4","3","3","3","6","7","1","1","4","3","5","3","4","3","5","6","3","4","2","5","3","2","4","5","4","6","5","6","7","6","6","6","4","3","6","4","4","2","3","3","5","3","3","3","4","4","7","5","4","5","5","6","2","2","2","4","4","3","5","5","4","2","1","1","3","3","2","4","5","6","4","5","5","7","5","5","6","7","6","6","5","5","2","3","2","6","5","5","5","5","5","6","6","6","4","3","3","4","5","4","5","5","4","7","6","6","1","6","4","6","6","6","2","2","6","7","6","4","1","7","2","1","6","3","3","5","振る舞い一つ違うだけで印象がだいぶ変わる事がわかった。"
"2022/02/21 2:50:23 午後 GMT+9","psrnsr","男","33","愛知県","14:26","2","1","3","3","5","4","4","4","6","5","5","4","5","5","5","4","6","4","4","3","4","2","3","2","4","3","1","1","4","2","3","2","3","2","4","3","4","4","3","3","2","2","2","2","1","5","6","4","4","4","3","4","3","3","5","3","2","5","5","4","3","3","2","5","4","3","6","5","3","6","5","4","2","2","1","6","5","5","5","4","4","6","5","5","5","5","4","6","5","4","6","6","5","5","3","3","4","3","3","4","3","3","5","3","3","6","4","4","4","4","3","6","6","5","7","6","5","6","5","4","5","2","2","6","5","4","2","6","5","4","2","5","1","2","1","3","5","2","1","5","2","2","1","6","6","3","もう少しジェスチャーや表情のバリエーションがあるとより音声の内容と近づくのではないかと思います。"
